date_observation,code_municipalite,nom,coordonnee_x,coordonnee_y,urgence,certitude,type,severite,etat,imprecision
2013/06/20 10:54:09,71050,Les Cèdres,-74.113701169513,45.32943222801,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/06/20 11:32:00,71050,Les Cèdres,-74.113701169513,45.32943222801,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/06/20 11:57:58,71040,Coteau-du-Lac,-74.155844037553,45.313016960841,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/06/20 11:19:41,71040,Coteau-du-Lac,-74.153011624833,45.311145801274,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/06/20 11:57:58,71040,Coteau-du-Lac,-74.155844037553,45.313016960841,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/06/24 10:17:27,05070,New Richmond,-65.814992368197,48.125142202798,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2012/06/18 00:00:00,54110,Saint-Jude,-72.9724811108554,45.7942252951671,Inconnue,Observé,Mouvement de terrain,Inconnue,Actuel,aucune
2013/10/22 10:54:00,57068,Saint-Denis-sur-Richelieu,-73.1357310371891,45.7511206669178,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2014/04/14 09:40:00,82010,Notre-Dame-de-la-Salette,-75.595795415019,45.8358934930831,Inconnue,Observé,Mouvement de terrain,Mineure,Actuel,aucune
2014/04/15 12:48:00,77055,Lac-des-Seize-Îles,-74.466893865703,45.9209200053473,Immédiate,Observé,Mouvement de terrain,Importante,Actuel,aucune
2014/04/15 14:00:00,36033,Shawinigan,-72.7079837976924,46.6528221101322,Immédiate,Observé,Mouvement de terrain,Importante,Actuel,aucune
2014/04/15 15:00:00,80027,Saint-André-Avellin,-75.0633066351001,45.787096167857,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
2014/04/15 19:00:00,21035,Château-Richer,-71.0302216616219,46.9638068979366,Passée,Observé,Mouvement de terrain,Modérée,Actuel,aucune
2014/05/02 14:00:00,49030,Saint-Lucien,-72.3189666832778,45.8395512960356,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
2014/05/05 14:00:00,49030,Saint-Lucien,-72.3188202408598,45.8395810097803,Inconnue,Observé,Mouvement de terrain,Mineure,Actuel,aucune
2014/07/09 02:00:00,18025,Sainte-Apolline-de-Patton,-70.2031363157863,46.8019890650906,Passée,Observé,Tornade,Importante,Actuel,aucune
2014/08/06 11:05:00,54100,Saint-Hugues,-72.9252679921211,45.814235276761,Inconnue,Observé,Mouvement de terrain,Inconnue,Actuel,aucune
2014/10/17 14:27:00,35040,Grandes-Piles,-72.7282026856127,46.6964099156714,Inconnue,Observé,Accident ferroviaire,Inconnue,Essai,aucune
2014/10/31 13:00:00,56050,Saint-Sébastien,-73.1322221810138,45.1487809347193,Inconnue,Observé,Tornade,Inconnue,Essai,aucune
2014/11/06 07:30:00,97007,Sept-Îles,-66.1911339534463,50.3474358639546,Immédiate,Observé,Accident ferroviaire,Modérée,Actuel,aucune
2014/11/12 10:58:00,68015,Hemmingford,-73.6324434333649,45.0920932689346,Inconnue,Observé,Autre,Inconnue,Essai,aucune
2014/01/01 00:00:00,01023,Les Îles-de-la-Madeleine,-61.650091123,47.4170787570001,Passée,Observé,Pluie verglaçante,Mineure,Actuel,date
2007/11/04 00:00:00,09050,Métis-sur-Mer,-68.03532473,48.6714186130001,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
2008/10/28 00:00:00,09045,Les Boules,-67.953925759,48.6610031910001,Passée,Observé,Pluie verglaçante,Mineure,Actuel,aucune
1990/10/06 00:00:00,02028,Chandler,-64.675154526,48.350692258,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1993/05/01 00:00:00,04045,Cap-Chat,-66.652629885,49.1091309130001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
1987/11/30 00:00:00,06045,Matapédia,-66.981057095,47.9801143890001,Passée,Observé,Matières dangereuses,Mineure,Actuel,aucune
1990/09/01 00:00:00,02028,Chandler,-64.765831112,48.3528676030001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1992/01/29 00:00:00,02028,Chandler,-64.6979074829999,48.348045734,Passée,Observé,Autre,Mineure,Actuel,aucune
1992/05/26 00:00:00,02028,Chandler,-64.7639296739999,48.352994337,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1905/12/15 00:00:00,10015,Saint-Narcisse-de-Rimouski,-68.4795555119999,48.24923098,Passée,Observé,Feu de forêt,Mineure,Actuel,aucune
1992/06/25 00:00:00,02028,Chandler,-64.6473650689999,48.3759082350001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1997/10/31 00:00:00,02028,Chandler,-64.686116961,48.3491053590001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
2000/04/19 00:00:00,02028,Chandler,-64.75870072,48.3538181020001,Passée,Observé,Démonstration civile,Mineure,Actuel,aucune
2002/06/11 00:00:00,02028,Chandler,-64.756799282,48.3541349320001,Passée,Observé,Feu urbain,Mineure,Actuel,aucune
2002/09/07 00:00:00,09085,Sainte-Flavie,-68.25954139,48.5986660740001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
2002/11/18 00:00:00,02028,Chandler,-64.699135666,48.3054031580001,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
2006/05/01 00:00:00,02028,Chandler,-64.75870072,48.3550854070001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
2006/12/01 00:00:00,02028,Chandler,-64.603250005,48.364061099,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
2013/10/01 00:00:00,02028,Chandler,-64.608917236,48.3616523740001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
2009/05/01 00:00:00,02028,Chandler,-64.613332563,48.3607853400001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
2009/06/01 00:00:00,02028,Chandler,-64.609147239,48.3616072090001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
2013/10/01 00:00:00,02028,Chandler,-64.609114781,48.3616135830001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
2009/06/01 00:00:00,02028,Chandler,-64.608809483,48.3617174135001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,date
2005/03/09 00:00:00,09085,Sainte-Flavie,-68.2450905429999,48.5976519280001,Passée,Observé,Pluie verglaçante,Mineure,Actuel,aucune
2008/08/03 00:00:00,09060,Grand-Métis,-68.0872817539999,48.624732158,Passée,Observé,Inondation,Mineure,Actuel,aucune
2012/11/01 00:00:00,09045,Les Boules,-67.942933072,48.6610031910001,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
2010/12/15 00:00:00,09045,Les Boules,-67.95872689,48.6857092060001,Passée,Observé,Inondation,Mineure,Actuel,aucune
